Date of Occurrence,Time of Occurrence,City,Crime Description,Victim Age,Victim Gender,Crime Domain
2020-11-08,14:10,Bangalore,ASSAULT,73,M,Violent Crime
2020-11-08,18:11,Indore,DOMESTIC VIOLENCE,54,M,Violent Crime
2020-11-08,12:17,Chennai,ASSAULT,44,M,Violent Crime
2020-11-08,17:04,Mumbai,BURGLARY,65,F,Other Crime
2020-11-08,16:12,Ahmedabad,ROBBERY,56,M,Violent Crime
2020-12-08,16:04,Mumbai,DRUG OFFENSE,72,M,Other Crime
2020-12-08,15:21,Chennai,CYBERCRIME,78,M,Other Crime
2020-12-08,01:02,Pune,ROBBERY,49,F,Violent Crime
2020-12-08,16:19,Pune,CYBERCRIME,72,M,Other Crime
2020-12-08,14:48,Kanpur,ASSAULT,25,M,Violent Crime
2020-12-08,15:01,Hyderabad,BURGLARY,63,F,Other Crime
2020-12-08,06:25,Visakhapatnam,KIDNAPPING,23,F,Other Crime
2020-12-08,05:31,Bhopal,ASSAULT,26,M,Violent Crime
2020-12-08,02:05,Mumbai,KIDNAPPING,79,M,Other Crime
2020-12-08,22:02,Ahmedabad,ASSAULT,40,F,Violent Crime
2020-12-08,02:46,Bangalore,VEHICLE - STOLEN,72,F,Violent Crime
2020-12-08,04:53,Meerut,CYBERCRIME,70,F,Other Crime
2020-01-09,19:47,Pune,SEXUAL ASSAULT,10,F,Violent Crime
2020-01-09,19:23,Lucknow,BURGLARY,33,M,Other Crime
2020-01-09,01:31,Ahmedabad,BURGLARY,29,F,Other Crime
2020-01-09,09:06,Delhi,VEHICLE - STOLEN,21,M,Violent Crime
2020-01-09,15:17,Chennai,DRUG OFFENSE,61,F,Other Crime
2020-01-09,02:29,Chennai,CYBERCRIME,25,F,Other Crime
2020-01-09,09:32,Mumbai,VEHICLE - STOLEN,51,F,Violent Crime
2020-01-09,22:49,Delhi,KIDNAPPING,36,F,Other Crime
2020-01-09,22:03,Ahmedabad,HOMICIDE,61,F,Other Crime
2020-01-09,01:08,Ahmedabad,BURGLARY,28,M,Other Crime
2020-01-09,23:31,Delhi,SEXUAL ASSAULT,73,F,Violent Crime
2020-02-09,06:05,Ahmedabad,KIDNAPPING,65,F,Other Crime
2020-02-09,13:03,Hyderabad,DOMESTIC VIOLENCE,24,F,Violent Crime
2020-02-09,13:04,Agra,CYBERCRIME,33,M,Other Crime
2020-02-09,05:47,Hyderabad,ROBBERY,51,M,Violent Crime
2020-02-09,02:03,Ahmedabad,ROBBERY,10,M,Violent Crime
2020-02-09,10:00,Chennai,ASSAULT,51,M,Violent Crime
2020-02-09,18:58,Delhi,VEHICLE - STOLEN,12,F,Violent Crime
2020-02-09,16:05,Pune,BURGLARY,44,M,Other Crime
2020-02-09,12:07,Ludhiana,CYBERCRIME,67,F,Other Crime
2020-02-09,19:17,Lucknow,ASSAULT,43,M,Violent Crime
2020-02-09,17:15,Kolkata,ROBBERY,18,F,Violent Crime
2020-02-09,16:39,Bangalore,ASSAULT,56,F,Violent Crime
2020-02-09,05:24,Kolkata,DOMESTIC VIOLENCE,65,M,Violent Crime
2020-02-09,15:19,Visakhapatnam,DOMESTIC VIOLENCE,78,F,Violent Crime
2020-02-09,23:10,Hyderabad,VEHICLE - STOLEN,63,M,Violent Crime
2020-02-09,12:08,Nagpur,DOMESTIC VIOLENCE,18,M,Violent Crime
2020-03-09,02:50,Lucknow,ROBBERY,53,M,Violent Crime
2020-03-09,14:37,Nashik,CYBERCRIME,10,F,Other Crime
2020-03-09,23:17,Kolkata,ASSAULT,25,M,Violent Crime
2020-03-09,10:14,Pune,DRUG OFFENSE,41,F,Other Crime
2020-03-09,08:16,Faridabad,ROBBERY,29,M,Violent Crime
2020-03-09,10:44,Bhopal,HOMICIDE,18,F,Other Crime
2020-03-09,06:28,Mumbai,KIDNAPPING,73,F,Other Crime
2020-03-09,11:08,Ludhiana,DOMESTIC VIOLENCE,72,F,Violent Crime
2020-03-09,01:36,Delhi,DRUG OFFENSE,32,F,Other Crime
2020-03-09,09:42,Kolkata,VEHICLE - STOLEN,11,F,Violent Crime
2020-03-09,14:41,Bangalore,BURGLARY,59,F,Other Crime
2020-03-09,21:38,Kolkata,HOMICIDE,51,F,Other Crime
2020-04-09,09:11,Pune,VEHICLE - STOLEN,33,M,Violent Crime
2020-04-09,12:00,Chennai,HOMICIDE,29,F,Other Crime
2020-04-09,07:05,Hyderabad,CYBERCRIME,46,F,Other Crime
2020-04-09,22:39,Chennai,CYBERCRIME,33,F,Other Crime
2020-04-09,08:50,Delhi,DOMESTIC VIOLENCE,11,F,Violent Crime
2020-04-09,12:07,Ghaziabad,VEHICLE - STOLEN,52,F,Violent Crime
2020-04-09,16:07,Mumbai,BURGLARY,68,F,Other Crime
2020-04-09,17:11,Kolkata,SEXUAL ASSAULT,19,F,Violent Crime
2020-04-09,21:48,Thane,BURGLARY,21,F,Other Crime
2020-05-09,18:56,Delhi,DOMESTIC VIOLENCE,62,F,Violent Crime
2020-05-09,03:33,Hyderabad,BURGLARY,10,F,Other Crime
2020-05-09,12:52,Mumbai,ASSAULT,70,F,Violent Crime
2020-05-09,06:35,Mumbai,VEHICLE - STOLEN,13,F,Violent Crime
2020-05-09,11:26,Indore,DOMESTIC VIOLENCE,32,F,Violent Crime
2020-05-09,12:24,Meerut,BURGLARY,75,M,Other Crime
2020-05-09,17:34,Meerut,HOMICIDE,57,F,Other Crime
2020-05-09,15:50,Nagpur,VEHICLE - STOLEN,55,M,Violent Crime
2020-05-09,22:23,Delhi,DOMESTIC VIOLENCE,61,M,Violent Crime
2020-05-09,00:42,Nagpur,CYBERCRIME,53,M,Other Crime
2020-06-09,13:48,Kolkata,DRUG OFFENSE,60,F,Other Crime
2020-06-09,21:38,Meerut,KIDNAPPING,41,F,Other Crime
2020-06-09,18:46,Kolkata,DRUG OFFENSE,36,F,Other Crime
2020-06-09,06:24,Kanpur,KIDNAPPING,36,F,Other Crime
2020-06-09,06:33,Thane,ROBBERY,26,F,Violent Crime
2020-06-09,17:02,Jaipur,CYBERCRIME,16,F,Other Crime
2020-06-09,11:02,Pune,ROBBERY,36,F,Violent Crime
2020-06-09,06:18,Mumbai,DRUG OFFENSE,23,M,Other Crime
2020-06-09,11:14,Kalyan,BURGLARY,42,M,Other Crime
2020-06-09,00:56,Varanasi,SEXUAL ASSAULT,19,F,Violent Crime
2020-06-09,15:27,Kolkata,BURGLARY,40,F,Other Crime
2020-06-09,15:54,Bangalore,ASSAULT,58,F,Violent Crime
2020-06-09,18:01,Ahmedabad,ROBBERY,17,F,Violent Crime
2020-06-09,08:31,Ahmedabad,DRUG OFFENSE,26,F,Other Crime
2020-07-09,00:23,Ludhiana,DRUG OFFENSE,34,M,Other Crime
2020-07-09,17:24,Ghaziabad,KIDNAPPING,41,M,Other Crime
2020-07-09,09:33,Nagpur,ROBBERY,29,M,Violent Crime
2020-07-09,21:14,Kolkata,DRUG OFFENSE,31,F,Other Crime
2020-07-09,02:47,Surat,SEXUAL ASSAULT,73,F,Violent Crime
2020-07-09,15:13,Mumbai,ROBBERY,46,M,Violent Crime
2020-07-09,10:56,Nagpur,VEHICLE - STOLEN,72,F,Violent Crime
2020-07-09,04:14,Bhopal,ROBBERY,49,M,Violent Crime
2020-07-09,11:58,Lucknow,ROBBERY,21,F,Violent Crime
2020-07-09,18:47,Kolkata,BURGLARY,20,F,Other Crime
2020-08-09,15:21,Delhi,HOMICIDE,17,M,Other Crime
2020-08-09,14:37,Lucknow,DRUG OFFENSE,36,F,Other Crime
2020-08-09,13:56,Agra,CYBERCRIME,46,F,Other Crime
2020-08-09,06:03,Agra,BURGLARY,12,M,Other Crime
2020-08-09,20:17,Bangalore,ROBBERY,20,M,Violent Crime
2020-08-09,19:39,Jaipur,DRUG OFFENSE,65,F,Other Crime
2020-08-09,21:19,Lucknow,HOMICIDE,54,F,Other Crime
2020-08-09,20:19,Delhi,CYBERCRIME,28,F,Other Crime
2020-08-09,12:33,Kanpur,DRUG OFFENSE,40,M,Other Crime
2020-08-09,13:43,Faridabad,CYBERCRIME,12,F,Other Crime
2020-08-09,13:30,Pune,DRUG OFFENSE,45,F,Other Crime
2020-08-09,18:01,Delhi,ROBBERY,42,F,Violent Crime
2020-09-09,00:31,Delhi,HOMICIDE,21,M,Other Crime
2020-09-09,23:28,Kolkata,KIDNAPPING,70,M,Other Crime
2020-09-09,18:02,Bangalore,VEHICLE - STOLEN,57,M,Violent Crime
2020-09-09,11:59,Kolkata,SEXUAL ASSAULT,78,F,Violent Crime
2020-09-09,23:37,Delhi,BURGLARY,79,F,Other Crime
2020-09-09,03:58,Kanpur,KIDNAPPING,46,F,Other Crime
2020-09-09,23:27,Kolkata,ASSAULT,31,F,Violent Crime
2020-09-09,08:01,Kanpur,ASSAULT,65,F,Violent Crime
2020-09-09,16:54,Delhi,BURGLARY,57,M,Other Crime
2020-09-09,14:04,Bhopal,SEXUAL ASSAULT,46,F,Violent Crime
2020-09-09,04:59,Hyderabad,VEHICLE - STOLEN,23,F,Violent Crime
2020-09-09,17:27,Bangalore,BURGLARY,57,F,Other Crime
2020-09-09,11:06,Ahmedabad,HOMICIDE,40,M,Other Crime
2020-09-09,14:08,Chennai,CYBERCRIME,63,M,Other Crime
2020-10-09,09:20,Delhi,ROBBERY,70,F,Violent Crime
2020-10-09,04:36,Chennai,DRUG OFFENSE,34,F,Other Crime
2020-10-09,20:31,Visakhapatnam,DOMESTIC VIOLENCE,13,M,Violent Crime
2020-10-09,09:50,Hyderabad,VEHICLE - STOLEN,62,F,Violent Crime
2020-10-09,20:11,Delhi,VEHICLE - STOLEN,71,M,Violent Crime
2020-10-09,23:12,Patna,KIDNAPPING,51,F,Other Crime
2020-10-09,09:14,Rajkot,ROBBERY,28,F,Violent Crime
2020-11-09,05:33,Ludhiana,BURGLARY,74,F,Other Crime
2020-11-09,21:42,Delhi,VEHICLE - STOLEN,38,F,Violent Crime
2020-11-09,23:19,Bangalore,DRUG OFFENSE,10,F,Other Crime
2020-11-09,18:40,Ludhiana,DOMESTIC VIOLENCE,10,F,Violent Crime
2020-11-09,12:00,Bangalore,KIDNAPPING,79,M,Other Crime
2020-11-09,18:55,Kanpur,DRUG OFFENSE,61,M,Other Crime
2020-11-09,15:25,Ghaziabad,HOMICIDE,65,M,Other Crime
2020-11-09,08:00,Lucknow,BURGLARY,37,F,Other Crime
2020-11-09,00:29,Varanasi,DOMESTIC VIOLENCE,76,F,Violent Crime
2020-11-09,07:37,Nagpur,DRUG OFFENSE,13,M,Other Crime
2020-12-09,02:57,Lucknow,ASSAULT,27,F,Violent Crime
2020-12-09,03:41,Kanpur,DOMESTIC VIOLENCE,53,F,Violent Crime
2020-12-09,00:57,Bangalore,VEHICLE - STOLEN,40,M,Violent Crime
2020-12-09,05:20,Mumbai,ROBBERY,69,F,Violent Crime
2020-12-09,08:23,Bhopal,ROBBERY,31,F,Violent Crime
2020-12-09,04:23,Delhi,DRUG OFFENSE,28,M,Other Crime
2020-12-09,17:24,Chennai,CYBERCRIME,69,F,Other Crime
2020-12-09,08:44,Vasai,ASSAULT,54,M,Violent Crime
2020-12-09,04:32,Mumbai,KIDNAPPING,59,F,Other Crime
2020-12-09,16:43,Bangalore,KIDNAPPING,60,M,Other Crime
2020-12-09,19:16,Mumbai,CYBERCRIME,74,F,Other Crime
2020-12-09,04:46,Chennai,ASSAULT,32,F,Violent Crime
2020-01-10,05:53,Hyderabad,SEXUAL ASSAULT,12,M,Violent Crime
2020-01-10,20:53,Kolkata,ROBBERY,46,M,Violent Crime
2020-01-10,12:35,Kolkata,SEXUAL ASSAULT,36,F,Violent Crime
2020-01-10,11:14,Delhi,DRUG OFFENSE,35,M,Other Crime
2020-01-10,23:31,Jaipur,ROBBERY,25,F,Violent Crime
2020-01-10,01:25,Mumbai,KIDNAPPING,10,F,Other Crime
2020-01-10,23:08,Pune,DRUG OFFENSE,32,F,Other Crime
2020-01-10,06:17,Delhi,HOMICIDE,42,F,Other Crime
2020-01-10,07:53,Mumbai,DRUG OFFENSE,72,M,Other Crime
2020-01-10,06:27,Hyderabad,KIDNAPPING,61,F,Other Crime
2020-02-10,07:42,Lucknow,VEHICLE - STOLEN,57,F,Violent Crime
2020-02-10,13:08,Ghaziabad,VEHICLE - STOLEN,65,F,Violent Crime
2020-02-10,19:32,Patna,BURGLARY,44,F,Other Crime
2020-02-10,17:47,Mumbai,ROBBERY,45,F,Violent Crime
2020-02-10,13:33,Delhi,ROBBERY,62,M,Violent Crime
2020-02-10,22:38,Hyderabad,HOMICIDE,70,F,Other Crime
2020-02-10,01:54,Thane,DOMESTIC VIOLENCE,56,M,Violent Crime
2020-02-10,17:51,Mumbai,CYBERCRIME,30,F,Other Crime
2020-02-10,13:12,Pune,BURGLARY,16,F,Other Crime
2020-02-10,02:53,Surat,HOMICIDE,40,F,Other Crime
2020-02-10,03:23,Kalyan,DRUG OFFENSE,25,M,Other Crime
2020-02-10,12:34,Mumbai,DRUG OFFENSE,25,F,Other Crime
2020-02-10,18:40,Faridabad,ROBBERY,29,M,Violent Crime
2020-02-10,21:16,Kolkata,DRUG OFFENSE,78,F,Other Crime
2020-03-10,18:21,Kanpur,DRUG OFFENSE,62,M,Other Crime
2020-03-10,21:58,Delhi,HOMICIDE,39,F,Other Crime
2020-03-10,07:31,Bangalore,DOMESTIC VIOLENCE,37,F,Violent Crime
2020-03-10,06:53,Ahmedabad,ASSAULT,54,F,Violent Crime
2020-03-10,07:12,Mumbai,DRUG OFFENSE,74,M,Other Crime
2020-03-10,14:01,Nashik,KIDNAPPING,69,M,Other Crime
2020-03-10,01:36,Delhi,VEHICLE - STOLEN,39,M,Violent Crime
2020-03-10,01:27,Delhi,SEXUAL ASSAULT,37,F,Violent Crime
2020-03-10,01:50,Ludhiana,ROBBERY,20,F,Violent Crime
2020-03-10,09:55,Nagpur,DRUG OFFENSE,70,F,Other Crime
2020-03-10,21:25,Bangalore,ROBBERY,14,F,Violent Crime
2020-03-10,21:39,Delhi,DRUG OFFENSE,47,M,Other Crime
2020-04-10,20:32,Bangalore,BURGLARY,50,M,Other Crime
2020-04-10,18:46,Hyderabad,SEXUAL ASSAULT,15,F,Violent Crime
2020-04-10,04:27,Mumbai,CYBERCRIME,61,F,Other Crime
2020-04-10,19:45,Hyderabad,ASSAULT,61,F,Violent Crime
2020-04-10,15:29,Visakhapatnam,VEHICLE - STOLEN,78,M,Violent Crime
2020-04-10,22:58,Bangalore,DRUG OFFENSE,20,M,Other Crime
2020-04-10,22:50,Chennai,BURGLARY,44,F,Other Crime
2020-04-10,04:39,Mumbai,BURGLARY,73,F,Other Crime
2020-04-10,16:11,Meerut,BURGLARY,32,M,Other Crime
2020-04-10,15:08,Bangalore,ASSAULT,28,F,Violent Crime
2020-05-10,16:30,Bangalore,ROBBERY,22,F,Violent Crime
2020-05-10,23:24,Kolkata,SEXUAL ASSAULT,78,M,Violent Crime
2020-05-10,19:23,Jaipur,SEXUAL ASSAULT,29,F,Violent Crime
2020-05-10,21:23,Visakhapatnam,VEHICLE - STOLEN,73,F,Violent Crime
2020-05-10,19:52,Ludhiana,HOMICIDE,52,M,Other Crime
2020-05-10,16:14,Mumbai,ASSAULT,68,M,Violent Crime
2020-05-10,09:26,Lucknow,DOMESTIC VIOLENCE,48,F,Violent Crime
2020-05-10,20:13,Lucknow,HOMICIDE,23,F,Other Crime
2020-05-10,16:24,Delhi,VEHICLE - STOLEN,76,M,Violent Crime
2020-05-10,10:37,Jaipur,BURGLARY,42,M,Other Crime
2020-05-10,18:55,Mumbai,SEXUAL ASSAULT,78,M,Violent Crime
2020-06-10,21:10,Lucknow,CYBERCRIME,68,M,Other Crime
2020-06-10,19:49,Ghaziabad,SEXUAL ASSAULT,44,F,Violent Crime
2020-06-10,21:38,Kolkata,HOMICIDE,78,M,Other Crime
2020-06-10,09:08,Visakhapatnam,HOMICIDE,52,M,Other Crime
2020-06-10,14:06,Jaipur,ASSAULT,48,F,Violent Crime
2020-06-10,19:26,Jaipur,HOMICIDE,66,F,Other Crime
2020-06-10,01:51,Delhi,DOMESTIC VIOLENCE,35,F,Violent Crime
2020-06-10,09:09,Pune,CYBERCRIME,35,F,Other Crime
2020-06-10,09:29,Bangalore,BURGLARY,51,M,Other Crime
2020-06-10,16:56,Pune,BURGLARY,34,F,Other Crime
2020-07-10,03:08,Bangalore,HOMICIDE,78,F,Other Crime
2020-07-10,20:57,Mumbai,ASSAULT,53,F,Violent Crime
2020-07-10,21:44,Delhi,DOMESTIC VIOLENCE,50,F,Violent Crime
2020-07-10,04:28,Kolkata,SEXUAL ASSAULT,31,M,Violent Crime
2020-07-10,15:29,Delhi,SEXUAL ASSAULT,19,F,Violent Crime
2020-07-10,06:58,Mumbai,DOMESTIC VIOLENCE,79,M,Violent Crime
2020-07-10,22:19,Patna,BURGLARY,30,F,Other Crime
2020-07-10,22:03,Delhi,SEXUAL ASSAULT,51,F,Violent Crime
2020-07-10,08:18,Delhi,VEHICLE - STOLEN,67,M,Violent Crime
2020-07-10,21:24,Delhi,DRUG OFFENSE,35,F,Other Crime
2020-07-10,00:48,Ahmedabad,VEHICLE - STOLEN,75,M,Violent Crime
2020-07-10,17:02,Rajkot,CYBERCRIME,42,F,Other Crime
2020-08-10,12:55,Kalyan,HOMICIDE,65,F,Other Crime
2020-08-10,15:00,Mumbai,SEXUAL ASSAULT,67,M,Violent Crime
2020-08-10,18:41,Varanasi,DRUG OFFENSE,23,M,Other Crime
2020-08-10,06:54,Hyderabad,DOMESTIC VIOLENCE,43,F,Violent Crime
2020-08-10,20:58,Delhi,BURGLARY,25,F,Other Crime
2020-08-10,17:46,Kolkata,HOMICIDE,29,M,Other Crime
2020-08-10,03:38,Bangalore,KIDNAPPING,32,M,Other Crime
2020-08-10,19:01,Delhi,SEXUAL ASSAULT,59,F,Violent Crime
2020-09-10,20:12,Lucknow,KIDNAPPING,71,M,Other Crime
2020-09-10,02:16,Surat,SEXUAL ASSAULT,65,F,Violent Crime
2020-09-10,06:01,Bangalore,SEXUAL ASSAULT,59,F,Violent Crime
2020-09-10,05:10,Ahmedabad,CYBERCRIME,15,F,Other Crime
2020-09-10,13:21,Chennai,HOMICIDE,59,F,Other Crime
2020-09-10,22:43,Delhi,BURGLARY,18,F,Other Crime
2020-09-10,21:56,Nashik,DOMESTIC VIOLENCE,34,F,Violent Crime
2020-09-10,02:29,Hyderabad,CYBERCRIME,68,M,Other Crime
2020-10-10,05:11,Bangalore,SEXUAL ASSAULT,77,F,Violent Crime
2020-10-10,14:09,Bangalore,DOMESTIC VIOLENCE,50,M,Violent Crime
2020-10-10,18:20,Hyderabad,VEHICLE - STOLEN,67,M,Violent Crime
2020-10-10,08:11,Delhi,ASSAULT,56,F,Violent Crime
2020-10-10,09:15,Mumbai,BURGLARY,13,F,Other Crime
2020-10-10,15:08,Kolkata,SEXUAL ASSAULT,36,F,Violent Crime
2020-10-10,22:36,Bhopal,ASSAULT,22,F,Violent Crime
2020-10-10,07:06,Kolkata,HOMICIDE,70,F,Other Crime
2020-10-10,01:42,Hyderabad,SEXUAL ASSAULT,33,F,Violent Crime
2020-10-10,17:04,Hyderabad,SEXUAL ASSAULT,74,F,Violent Crime
2020-10-10,09:16,Chennai,KIDNAPPING,35,M,Other Crime
2020-10-10,17:40,Hyderabad,BURGLARY,23,F,Other Crime
2020-10-10,11:29,Nagpur,ROBBERY,37,F,Violent Crime
2020-10-10,16:27,Chennai,CYBERCRIME,78,F,Other Crime
2020-11-10,17:11,Patna,CYBERCRIME,51,M,Other Crime
2020-11-10,17:59,Agra,DRUG OFFENSE,21,M,Other Crime
2020-11-10,16:22,Bangalore,SEXUAL ASSAULT,72,F,Violent Crime
2020-11-10,18:58,Surat,ASSAULT,19,M,Violent Crime
2020-11-10,19:30,Delhi,HOMICIDE,18,F,Other Crime
2020-11-10,09:50,Hyderabad,BURGLARY,34,F,Other Crime
2020-11-10,15:21,Mumbai,SEXUAL ASSAULT,19,F,Violent Crime
2020-11-10,21:37,Jaipur,SEXUAL ASSAULT,25,M,Violent Crime
2020-12-10,04:27,Delhi,ROBBERY,59,F,Violent Crime
2020-12-10,09:50,Kalyan,KIDNAPPING,79,M,Other Crime
2020-12-10,01:29,Jaipur,CYBERCRIME,73,F,Other Crime
2020-12-10,20:12,Mumbai,ASSAULT,31,F,Violent Crime
2020-12-10,05:09,Bangalore,BURGLARY,20,M,Other Crime
2020-12-10,16:42,Nagpur,ASSAULT,51,F,Violent Crime
2020-12-10,08:35,Hyderabad,HOMICIDE,60,M,Other Crime
2020-12-10,18:15,Hyderabad,BURGLARY,58,M,Other Crime
2020-12-10,04:43,Delhi,ASSAULT,78,M,Violent Crime
2020-12-10,12:13,Delhi,HOMICIDE,44,F,Other Crime
2020-12-10,02:00,Kolkata,HOMICIDE,66,M,Other Crime
2020-01-11,05:21,Mumbai,KIDNAPPING,52,F,Other Crime
2020-01-11,21:46,Ahmedabad,DOMESTIC VIOLENCE,61,F,Violent Crime
2020-01-11,14:56,Hyderabad,HOMICIDE,25,M,Other Crime
2020-01-11,03:14,Bangalore,KIDNAPPING,34,F,Other Crime
2020-01-11,21:21,Agra,KIDNAPPING,62,F,Other Crime
2020-01-11,02:28,Bangalore,HOMICIDE,12,M,Other Crime
2020-01-11,06:47,Pune,KIDNAPPING,77,F,Other Crime
2020-01-11,23:24,Visakhapatnam,DOMESTIC VIOLENCE,22,F,Violent Crime
2020-01-11,06:46,Lucknow,DRUG OFFENSE,36,F,Other Crime
2020-02-11,06:36,Mumbai,DRUG OFFENSE,27,F,Other Crime
2020-02-11,15:12,Thane,CYBERCRIME,74,F,Other Crime
2020-02-11,23:34,Agra,VEHICLE - STOLEN,64,F,Violent Crime
2020-02-11,14:46,Lucknow,KIDNAPPING,52,F,Other Crime
2020-02-11,13:49,Delhi,HOMICIDE,36,F,Other Crime
2020-02-11,01:23,Rajkot,DRUG OFFENSE,49,F,Other Crime
2020-02-11,22:39,Jaipur,KIDNAPPING,79,F,Other Crime
2020-02-11,20:57,Lucknow,KIDNAPPING,77,F,Other Crime
2020-02-11,11:02,Chennai,BURGLARY,79,F,Other Crime
2020-02-11,06:58,Delhi,ROBBERY,34,M,Violent Crime
2020-02-11,04:47,Ludhiana,VEHICLE - STOLEN,27,F,Violent Crime
2020-02-11,06:30,Visakhapatnam,BURGLARY,52,F,Other Crime
2020-02-11,15:33,Delhi,KIDNAPPING,50,F,Other Crime
2020-02-11,23:19,Ahmedabad,BURGLARY,13,M,Other Crime
2020-03-11,15:05,Nagpur,CYBERCRIME,66,F,Other Crime
2020-03-11,14:50,Pune,BURGLARY,61,F,Other Crime
2020-03-11,16:41,Delhi,ROBBERY,61,F,Violent Crime
2020-03-11,06:08,Bangalore,CYBERCRIME,77,F,Other Crime
2020-03-11,14:56,Delhi,ROBBERY,40,F,Violent Crime
2020-03-11,22:24,Ahmedabad,KIDNAPPING,47,M,Other Crime
2020-03-11,06:22,Chennai,SEXUAL ASSAULT,59,M,Violent Crime
2020-03-11,22:19,Patna,CYBERCRIME,13,M,Other Crime
2020-03-11,01:41,Kanpur,VEHICLE - STOLEN,25,F,Violent Crime
2020-03-11,01:22,Chennai,HOMICIDE,73,F,Other Crime
2020-03-11,19:07,Kanpur,VEHICLE - STOLEN,19,M,Violent Crime
2020-04-11,01:11,Surat,DOMESTIC VIOLENCE,46,M,Violent Crime
2020-04-11,03:03,Delhi,ASSAULT,64,M,Violent Crime
2020-04-11,14:51,Delhi,VEHICLE - STOLEN,34,F,Violent Crime
2020-04-11,22:41,Chennai,VEHICLE - STOLEN,33,M,Violent Crime
2020-04-11,02:05,Bangalore,ROBBERY,11,F,Violent Crime
2020-04-11,10:08,Surat,SEXUAL ASSAULT,39,F,Violent Crime
2020-04-11,14:44,Hyderabad,VEHICLE - STOLEN,32,F,Violent Crime
2020-04-11,11:41,Lucknow,HOMICIDE,71,M,Other Crime
2020-04-11,13:48,Kanpur,CYBERCRIME,76,M,Other Crime
2020-04-11,07:37,Hyderabad,VEHICLE - STOLEN,26,F,Violent Crime
2020-04-11,06:21,Bangalore,ROBBERY,54,F,Violent Crime
2020-05-11,22:00,Mumbai,CYBERCRIME,42,F,Other Crime
2020-05-11,03:11,Ludhiana,CYBERCRIME,31,F,Other Crime
2020-05-11,05:18,Mumbai,SEXUAL ASSAULT,20,F,Violent Crime
2020-05-11,06:14,Bangalore,HOMICIDE,52,M,Other Crime
2020-05-11,02:15,Delhi,KIDNAPPING,71,F,Other Crime
2020-05-11,01:53,Ghaziabad,ROBBERY,46,M,Violent Crime
2020-05-11,16:13,Indore,KIDNAPPING,50,F,Other Crime
2020-05-11,19:03,Mumbai,HOMICIDE,17,F,Other Crime
2020-05-11,20:41,Kolkata,HOMICIDE,15,M,Other Crime
2020-05-11,02:47,Chennai,SEXUAL ASSAULT,16,M,Violent Crime
2020-05-11,18:05,Mumbai,KIDNAPPING,36,M,Other Crime
2020-05-11,05:19,Bangalore,DOMESTIC VIOLENCE,61,F,Violent Crime
2020-05-11,22:10,Bangalore,BURGLARY,12,F,Other Crime
2020-05-11,19:03,Indore,KIDNAPPING,59,F,Other Crime
2020-05-11,04:44,Bangalore,CYBERCRIME,52,F,Other Crime
2020-06-11,13:47,Kolkata,VEHICLE - STOLEN,34,M,Violent Crime
2020-06-11,03:37,Visakhapatnam,HOMICIDE,37,F,Other Crime
2020-06-11,15:39,Jaipur,SEXUAL ASSAULT,30,M,Violent Crime
2020-06-11,16:47,Vasai,SEXUAL ASSAULT,77,M,Violent Crime
2020-06-11,11:34,Pune,HOMICIDE,60,F,Other Crime
2020-06-11,11:17,Ahmedabad,SEXUAL ASSAULT,25,F,Violent Crime
2020-06-11,10:46,Kolkata,SEXUAL ASSAULT,71,F,Violent Crime
2020-06-11,12:25,Thane,ROBBERY,32,F,Violent Crime
2020-06-11,02:11,Kolkata,BURGLARY,36,M,Other Crime
2020-06-11,15:20,Bangalore,ROBBERY,17,F,Violent Crime
2020-07-11,04:47,Surat,DOMESTIC VIOLENCE,37,F,Violent Crime
2020-07-11,21:48,Pune,ASSAULT,38,F,Violent Crime
2020-07-11,13:56,Lucknow,CYBERCRIME,52,F,Other Crime
2020-07-11,03:12,Indore,SEXUAL ASSAULT,48,F,Violent Crime
2020-07-11,06:29,Hyderabad,ASSAULT,57,F,Violent Crime
2020-07-11,07:07,Ahmedabad,BURGLARY,31,F,Other Crime
2020-07-11,06:56,Chennai,VEHICLE - STOLEN,61,F,Violent Crime
2020-07-11,00:31,Pune,SEXUAL ASSAULT,47,F,Violent Crime
2020-07-11,08:15,Hyderabad,ASSAULT,45,F,Violent Crime
2020-07-11,09:36,Meerut,BURGLARY,34,M,Other Crime
2020-07-11,10:46,Bangalore,ROBBERY,53,F,Violent Crime
2020-07-11,09:04,Kanpur,ROBBERY,31,F,Violent Crime
2020-08-11,01:52,Ghaziabad,KIDNAPPING,76,F,Other Crime
2020-08-11,13:48,Mumbai,KIDNAPPING,37,F,Other Crime
2020-08-11,00:54,Ghaziabad,KIDNAPPING,63,F,Other Crime
2020-08-11,18:29,Lucknow,DOMESTIC VIOLENCE,65,F,Violent Crime
2020-08-11,05:00,Kanpur,SEXUAL ASSAULT,25,F,Violent Crime
2020-08-11,11:05,Hyderabad,SEXUAL ASSAULT,59,F,Violent Crime
2020-08-11,14:47,Bangalore,ASSAULT,47,F,Violent Crime
2020-08-11,13:44,Ahmedabad,SEXUAL ASSAULT,71,M,Violent Crime
2020-08-11,16:10,Mumbai,ROBBERY,29,F,Violent Crime
2020-08-11,14:43,Ghaziabad,ASSAULT,62,F,Violent Crime
2020-08-11,02:16,Hyderabad,CYBERCRIME,30,F,Other Crime
2020-09-11,10:02,Delhi,ASSAULT,26,F,Violent Crime
